"","Variable","Coefficient","Protein"
"12180","cg09738064",-0.00284924027490096,"CD6_FOM1"
"12181","cg09815545",0.000938704403543755,"CD6_FOM1"
"12182","cg09824104",-0.00182078550944069,"CD6_FOM1"
"12183","cg09902786",-0.000211875578046614,"CD6_FOM1"
"12184","cg09981999",-0.000196739378993057,"CD6_FOM1"
"12185","cg09998474",0.00170771187899783,"CD6_FOM1"
"12186","cg10028049",0.000820124990184489,"CD6_FOM1"
"12187","cg10172210",-0.000590151079970394,"CD6_FOM1"
"12188","cg10188659",-0.000103477052998474,"CD6_FOM1"
"12189","cg10191387",0.0005312766123526,"CD6_FOM1"
"12190","cg10237576",0.00299778547762997,"CD6_FOM1"
"12191","cg10261457",-0.000222374253742838,"CD6_FOM1"
"12192","cg10291990",0.000700500043239062,"CD6_FOM1"
"12193","cg10293293",0.00094832271090492,"CD6_FOM1"
"12194","cg10301657",0.000942538310419752,"CD6_FOM1"
"12195","cg10413105",0.00824366822592742,"CD6_FOM1"
"12196","cg10500026",0.00105163495798291,"CD6_FOM1"
"12197","cg10513418",0.000571701136163233,"CD6_FOM1"
"12198","cg10579193",0.000966985609735324,"CD6_FOM1"
"12199","cg10587989",-0.00028659093746548,"CD6_FOM1"
"12200","cg10591659",-0.000139659727124177,"CD6_FOM1"
"12201","cg10593416",0.00219945637921091,"CD6_FOM1"
"12202","cg10775576",-0.00213255888123798,"CD6_FOM1"
"12203","cg10783042",0.00111110083535947,"CD6_FOM1"
"12204","cg10786986",-0.000295682776071206,"CD6_FOM1"
"12205","cg10857887",-0.00039532754983693,"CD6_FOM1"
"12206","cg10861033",-7.37103074555549e-05,"CD6_FOM1"
"12207","cg10864286",0.000606552954833578,"CD6_FOM1"
"12208","cg10867226",-0.00112414977359925,"CD6_FOM1"
"12209","cg10914789",-0.00477834411598861,"CD6_FOM1"
"12210","cg10941721",0.000507514549746985,"CD6_FOM1"
"12211","cg11009400",-0.00252986270224878,"CD6_FOM1"
"12212","cg11036290",-8.01276541055926e-05,"CD6_FOM1"
"12213","cg11082630",0.00282941981119697,"CD6_FOM1"
"12214","cg11113650",0.000917392366011742,"CD6_FOM1"
"12215","cg11164993",0.000353615851579787,"CD6_FOM1"
"12216","cg11166197",-0.000542319545983564,"CD6_FOM1"
"12217","cg11190082",0.00391681620655523,"CD6_FOM1"
"12218","cg11291200",4.64392109896437e-05,"CD6_FOM1"
"12219","cg11327391",-0.000740523625420096,"CD6_FOM1"
"12220","cg11450947",0.00213691107586155,"CD6_FOM1"
"12221","cg11471507",6.55040208981353e-06,"CD6_FOM1"
"12222","cg11475300",-0.00393775807869679,"CD6_FOM1"
"12223","cg11555315",0.000762005504295391,"CD6_FOM1"
"12224","cg11640333",0.00170904428830709,"CD6_FOM1"
"12225","cg11673013",-0.000392288983886089,"CD6_FOM1"
"12226","cg11771863",-0.00128777324755522,"CD6_FOM1"
"12227","cg11816360",0.000592889190406352,"CD6_FOM1"
"12228","cg11867195",0.00293521725881379,"CD6_FOM1"
"12229","cg11868755",-0.000400029176424143,"CD6_FOM1"
"12230","cg11957438",0.000752633951644814,"CD6_FOM1"
"12231","cg12025642",0.000599252782343492,"CD6_FOM1"
"12232","cg12026625",0.00018317766328586,"CD6_FOM1"
"12233","cg12039689",-0.00143027994968695,"CD6_FOM1"
"12234","cg12039967",0.000875404171250423,"CD6_FOM1"
"12235","cg12041308",-0.00185082890448349,"CD6_FOM1"
"12236","cg12057563",0.000905556521525668,"CD6_FOM1"
"12237","cg12071297",0.000384907207983553,"CD6_FOM1"
"12238","cg12074688",0.000856660828635451,"CD6_FOM1"
"12239","cg12075996",-0.00164784734647092,"CD6_FOM1"
"12240","cg12113703",0.000955592341610325,"CD6_FOM1"
"12241","cg12116535",0.000233459021256252,"CD6_FOM1"
"12242","cg12130015",0.0013029182860925,"CD6_FOM1"
"12243","cg12145026",0.0010149301003929,"CD6_FOM1"
"12244","cg12156154",0.000422832652628912,"CD6_FOM1"
"12245","cg12162305",-0.000277831264121504,"CD6_FOM1"
"12246","cg12221218",-0.000142803785325665,"CD6_FOM1"
"12247","cg12313310",0.000686395083268347,"CD6_FOM1"
"12248","cg12454245",-0.00166837435922494,"CD6_FOM1"
"12249","cg12462026",-0.00226872589585908,"CD6_FOM1"
"12250","cg12544401",-8.95643922618895e-05,"CD6_FOM1"
"12251","cg12598428",-0.000978170678147684,"CD6_FOM1"
"12252","cg12620265",-0.00103405557303593,"CD6_FOM1"
"12253","cg12691219",0.000963355402276268,"CD6_FOM1"
"12254","cg12704708",-0.00063190453954182,"CD6_FOM1"
"12255","cg12726278",0.00186783648790639,"CD6_FOM1"
"12256","cg12743696",0.00400276148047419,"CD6_FOM1"
"12257","cg12823249",-0.000320344065260235,"CD6_FOM1"
"12258","cg12842316",0.000256713017911287,"CD6_FOM1"
"12259","cg12864868",-0.000930060323338284,"CD6_FOM1"
"12260","cg12875241",0.00517546953611147,"CD6_FOM1"
"12261","cg12976380",0.000822125531720114,"CD6_FOM1"
"12262","cg13075926",0.00184724633521035,"CD6_FOM1"
"12263","cg13115455",0.000739857064214676,"CD6_FOM1"
"12264","cg13125542",-0.00115773314779097,"CD6_FOM1"
"12265","cg13178935",-0.000566897140074642,"CD6_FOM1"
"12266","cg13187778",0.00131025088028132,"CD6_FOM1"
"12267","cg13208102",0.00146647095719831,"CD6_FOM1"
"12268","cg13208429",0.00440015361128661,"CD6_FOM1"
"12269","cg13213216",0.000135564307623781,"CD6_FOM1"
"12270","cg13217333",0.000221310498510346,"CD6_FOM1"
"12271","cg13219667",-0.000680524829874314,"CD6_FOM1"
"12272","cg13244998",0.000102495972663057,"CD6_FOM1"
"12273","cg13273653",-0.00105054548217222,"CD6_FOM1"
"12274","cg13279774",0.000262777580338209,"CD6_FOM1"
"12275","cg13307200",-0.000383955068717147,"CD6_FOM1"
"12276","cg13391512",0.000500991658427889,"CD6_FOM1"
"12277","cg13486082",0.00098092961451478,"CD6_FOM1"
"12278","cg13489005",-0.00306586852297976,"CD6_FOM1"
"12279","cg13524554",-0.000190334888615268,"CD6_FOM1"
"12280","cg13661446",-0.00166241995274377,"CD6_FOM1"
"12281","cg13663390",-0.00114100791552001,"CD6_FOM1"
"12282","cg13747960",0.00140432201904795,"CD6_FOM1"
"12283","cg13770495",0.000831706105965106,"CD6_FOM1"
"12284","cg13771263",0.000674109489310335,"CD6_FOM1"
"12285","cg13781574",0.00425107880375994,"CD6_FOM1"
"12286","cg13860040",0.000418927283696305,"CD6_FOM1"
"12287","cg13928866",0.000532534145955212,"CD6_FOM1"
"12288","cg13974562",-0.00132011298117109,"CD6_FOM1"
"12289","cg14022645",0.000779780518445587,"CD6_FOM1"
"12290","cg14053556",-0.000529272278001078,"CD6_FOM1"
"12291","cg14110884",0.00237343908103276,"CD6_FOM1"
"12292","cg14113919",0.00234121427233335,"CD6_FOM1"
"12293","cg14137819",-0.00166949744446895,"CD6_FOM1"
"12294","cg14261068",0.00260970946317479,"CD6_FOM1"
"12295","cg14273219",0.00158140621345286,"CD6_FOM1"
"12296","cg14304890",0.000213300640173713,"CD6_FOM1"
"12297","cg14338160",0.000196841947645708,"CD6_FOM1"
"12298","cg14351440",-0.000662618095090096,"CD6_FOM1"
"12299","cg14397820",-0.000103440729055956,"CD6_FOM1"
"12300","cg14520892",0.00120266879397832,"CD6_FOM1"
"12301","cg14570389",0.000379403932478913,"CD6_FOM1"
"12302","cg14586560",0.00156821665250273,"CD6_FOM1"
"12303","cg14743649",0.000149952125890913,"CD6_FOM1"
"12304","cg14814815",-9.98143602229673e-05,"CD6_FOM1"
"12305","cg14831390",-0.00103489991042331,"CD6_FOM1"
"12306","cg14831665",0.000637213444979615,"CD6_FOM1"
"12307","cg14832266",0.000378713189166414,"CD6_FOM1"
"12308","cg14833706",-6.76701985162784e-05,"CD6_FOM1"
"12309","cg14951132",0.00350857518187306,"CD6_FOM1"
"12310","cg15042473",-0.000838171273273615,"CD6_FOM1"
"12311","cg15057941",-0.000456099651188335,"CD6_FOM1"
"12312","cg15074974",0.00103034336377115,"CD6_FOM1"
"12313","cg15200096",-0.00219629981539734,"CD6_FOM1"
"12314","cg15211677",-0.00192103175222357,"CD6_FOM1"
"12315","cg15233060",-0.00196527255493441,"CD6_FOM1"
"12316","cg15351067",-0.00427671448468452,"CD6_FOM1"
"12317","cg15358931",0.000230863270833494,"CD6_FOM1"
"12318","cg15363435",-0.000195419594450999,"CD6_FOM1"
"12319","cg15364850",0.00236462749158625,"CD6_FOM1"
"12320","cg15380873",-0.000263951922588889,"CD6_FOM1"
"12321","cg15480287",-1.00870987176307e-06,"CD6_FOM1"
"12322","cg15614573",0.000334606394810118,"CD6_FOM1"
"12323","cg15627131",0.00112596234432612,"CD6_FOM1"
"12324","cg15662246",-2.0736825874102e-05,"CD6_FOM1"
"12325","cg15670241",0.00133539458008166,"CD6_FOM1"
"12326","cg15727409",0.000734672780434256,"CD6_FOM1"
"12327","cg15788661",0.000166847517980214,"CD6_FOM1"
"12328","cg15812025",0.000309156505987576,"CD6_FOM1"
"12329","cg15858894",0.00206029864868788,"CD6_FOM1"
"12330","cg16051475",0.000266234725809768,"CD6_FOM1"
"12331","cg16059374",0.00144965619531827,"CD6_FOM1"
"12332","cg16065628",-0.00157811515142615,"CD6_FOM1"
"12333","cg16082125",-0.00268897879098042,"CD6_FOM1"
"12334","cg16088894",0.000536489429661766,"CD6_FOM1"
"12335","cg16097355",0.000253776723391747,"CD6_FOM1"
"12336","cg16135771",-0.00142963852151422,"CD6_FOM1"
"12337","cg16149200",-0.000700587621389492,"CD6_FOM1"
"12338","cg16167088",0.00134639254126325,"CD6_FOM1"
"12339","cg16248169",3.05085607202067e-05,"CD6_FOM1"
"12340","cg16315447",-0.000901522856454549,"CD6_FOM1"
"12341","cg16385415",0.000358262665942873,"CD6_FOM1"
"12342","cg16426291",0.000892517750546413,"CD6_FOM1"
"12343","cg16501779",0.00207481069830443,"CD6_FOM1"
"12344","cg16620229",0.000112741310591765,"CD6_FOM1"
"12345","cg16681914",0.000617549817232475,"CD6_FOM1"
"12346","cg16697940",0.00165256624732513,"CD6_FOM1"
"12347","cg16718139",-0.000102754388788119,"CD6_FOM1"
"12348","cg16722818",0.00406828615737093,"CD6_FOM1"
"12349","cg16723800",0.00170420380393654,"CD6_FOM1"
"12350","cg16738558",0.00084567652456164,"CD6_FOM1"
"12351","cg16799982",0.00060269150170403,"CD6_FOM1"
"12352","cg16841966",-6.85445559020267e-05,"CD6_FOM1"
"12353","cg16888752",0.00164938676336016,"CD6_FOM1"
"12354","cg16890879",0.00351914264274743,"CD6_FOM1"
"12355","cg16894263",0.00200574854201521,"CD6_FOM1"
"12356","cg16928335",-0.000927535345620157,"CD6_FOM1"
"12357","cg16931980",7.55497112387608e-05,"CD6_FOM1"
"12358","cg16940942",-0.00119501823672672,"CD6_FOM1"
"12359","cg16994783",0.00414066598637169,"CD6_FOM1"
"12360","cg17041378",0.00043278894093699,"CD6_FOM1"
"12361","cg17122511",-0.000124614257022407,"CD6_FOM1"
"12362","cg17152375",-0.000395217074850521,"CD6_FOM1"
"12363","cg17192679",0.00215814289005352,"CD6_FOM1"
"12364","cg17281810",0.00184790765421876,"CD6_FOM1"
"12365","cg17377054",0.00455087485912137,"CD6_FOM1"
"12366","cg17386265",0.000130178654841289,"CD6_FOM1"
"12367","cg17394901",0.00143779919610635,"CD6_FOM1"
"12368","cg17527404",7.24673928602529e-05,"CD6_FOM1"
"12369","cg17533951",0.000405181864623016,"CD6_FOM1"
"12370","cg17676246",0.00117915988812181,"CD6_FOM1"
"12371","cg17732141",0.00257871208844253,"CD6_FOM1"
"12372","cg17776579",0.0010228582269713,"CD6_FOM1"
"12373","cg17818432",0.000496029754160955,"CD6_FOM1"
"12374","cg17825572",5.78744824511059e-05,"CD6_FOM1"
"12375","cg17849117",4.41357293512405e-05,"CD6_FOM1"
"12376","cg17868751",0.00308480230487171,"CD6_FOM1"
"12377","cg17878446",0.000295319764046233,"CD6_FOM1"
"12378","cg17878899",-0.00119497720101365,"CD6_FOM1"
"12379","cg17917970",0.00549501358489206,"CD6_FOM1"
"12380","cg17919471",-0.00107196836802828,"CD6_FOM1"
"12381","cg17936021",0.00224182847552808,"CD6_FOM1"
"12382","cg17959735",0.0045390167319654,"CD6_FOM1"
"12383","cg17959821",0.000769925073927997,"CD6_FOM1"
"12384","cg17965552",0.00375180055422807,"CD6_FOM1"
"12385","cg17980977",0.00406805141727336,"CD6_FOM1"
"12386","cg18022005",-0.000849265210749384,"CD6_FOM1"
"12387","cg18096738",0.000698455532601631,"CD6_FOM1"
"12388","cg18107314",0.00196159703538104,"CD6_FOM1"
"12389","cg18110168",0.00133960027797615,"CD6_FOM1"
"12390","cg18138788",0.00349299261099058,"CD6_FOM1"
"12391","cg18139692",-0.00185673626910339,"CD6_FOM1"
"12392","cg18230558",0.00260457410176991,"CD6_FOM1"
"12393","cg18409082",0.00260465429533021,"CD6_FOM1"
"12394","cg18412777",0.00111929920040531,"CD6_FOM1"
"12395","cg18452799",0.00147473438623484,"CD6_FOM1"
"12396","cg18470455",0.00113541402759403,"CD6_FOM1"
"12397","cg18516687",-0.0069861469513717,"CD6_FOM1"
"12398","cg18524099",-0.000243023837401425,"CD6_FOM1"
"12399","cg18624866",-0.00177098454228132,"CD6_FOM1"
"12400","cg18679504",0.000621051445378078,"CD6_FOM1"
"12401","cg18701656",-0.000246716678940142,"CD6_FOM1"
"12402","cg18811184",-0.000691437127540946,"CD6_FOM1"
"12403","cg18875207",0.000707052986961401,"CD6_FOM1"
"12404","cg19022966",0.000325566184099405,"CD6_FOM1"
"12405","cg19023309",0.00294958327058371,"CD6_FOM1"
"12406","cg19055639",0.00152449786278232,"CD6_FOM1"
"12407","cg19386336",0.00143511252400857,"CD6_FOM1"
"12408","cg19428430",0.00028373946602646,"CD6_FOM1"
"12409","cg19434750",0.00339904067355357,"CD6_FOM1"
"12410","cg19548176",0.000185940372131418,"CD6_FOM1"
"12411","cg19637159",0.00103978488091065,"CD6_FOM1"
"12412","cg19638040",-0.000380739008671059,"CD6_FOM1"
"12413","cg19748438",0.000301372537635862,"CD6_FOM1"
"12414","cg19782749",-0.000443689207266737,"CD6_FOM1"
"12415","cg19790752",0.000127665900645477,"CD6_FOM1"
"12416","cg19800913",-1.32087055347022e-05,"CD6_FOM1"
"12417","cg19821612",-0.000530281559863278,"CD6_FOM1"
"12418","cg19823927",-0.00223647232672496,"CD6_FOM1"
"12419","cg19858323",0.000812707906788812,"CD6_FOM1"
"12420","cg19868577",0.00167960306701855,"CD6_FOM1"
"12421","cg19879210",-0.000172126505530112,"CD6_FOM1"
"12422","cg19888047",-0.000237013004842925,"CD6_FOM1"
"12423","cg19922518",0.00166143483577079,"CD6_FOM1"
"12424","cg19933311",0.0065002142198054,"CD6_FOM1"
"12425","cg20063630",9.57495482927379e-05,"CD6_FOM1"
"12426","cg20071203",0.00195341784587561,"CD6_FOM1"
"12427","cg20081453",0.000428484425733993,"CD6_FOM1"
"12428","cg20312916",0.000728829203244745,"CD6_FOM1"
"12429","cg20350671",0.00104862882674929,"CD6_FOM1"
"12430","cg20373036",0.00275752431603508,"CD6_FOM1"
"12431","cg20477705",-0.00310514188925114,"CD6_FOM1"
"12432","cg20503915",0.00145606839427071,"CD6_FOM1"
"12433","cg20540913",0.000668644682716864,"CD6_FOM1"
"12434","cg20546893",0.00167902353856241,"CD6_FOM1"
"12435","cg20563277",-0.00456623000560739,"CD6_FOM1"
"12436","cg20649285",0.00302906348159284,"CD6_FOM1"
"12437","cg20664034",-5.05890374364615e-05,"CD6_FOM1"
"12438","cg20781383",0.000124824679893438,"CD6_FOM1"
"12439","cg20832009",-0.00154394097899469,"CD6_FOM1"
"12440","cg20858239",0.000633665421575624,"CD6_FOM1"
"12441","cg20880647",-0.000880834445880958,"CD6_FOM1"
"12442","cg20958732",0.00113194520887557,"CD6_FOM1"
"12443","cg20976488",-0.0018614104905445,"CD6_FOM1"
"12444","cg21028156",0.00351834396873343,"CD6_FOM1"
"12445","cg21119901",-0.000180126709383656,"CD6_FOM1"
"12446","cg21120047",-0.000322815015452125,"CD6_FOM1"
"12447","cg21137943",3.28094629663615e-05,"CD6_FOM1"
"12448","cg21154599",0.000288634512444768,"CD6_FOM1"
"12449","cg21180513",0.00112570048123282,"CD6_FOM1"
"12450","cg21195120",-0.000291206462335086,"CD6_FOM1"
"12451","cg21258987",-0.000816065027778094,"CD6_FOM1"
"12452","cg21283832",5.15972785034351e-05,"CD6_FOM1"
"12453","cg21305756",0.000384184211125725,"CD6_FOM1"
"12454","cg21306973",1.97422477108836e-05,"CD6_FOM1"
"12455","cg21395967",0.00128086273249865,"CD6_FOM1"
"12456","cg21545785",0.000408960989205102,"CD6_FOM1"
"12457","cg21597797",0.00146455341270435,"CD6_FOM1"
"12458","cg21647584",-0.00313844164081805,"CD6_FOM1"
"12459","cg21664443",-0.000586286447688769,"CD6_FOM1"
"12460","cg21768287",0.00167015554489374,"CD6_FOM1"
"12461","cg21854924",-0.000875067762616986,"CD6_FOM1"
"12462","cg21892973",-0.000786567665253561,"CD6_FOM1"
"12463","cg21902245",-9.90713020394126e-05,"CD6_FOM1"
"12464","cg21903569",-0.00202227820882032,"CD6_FOM1"
"12465","cg21910711",0.00161498574788905,"CD6_FOM1"
"12466","cg21912308",-0.000664033487054634,"CD6_FOM1"
"12467","cg21939789",0.00329380947851671,"CD6_FOM1"
"12468","cg21945991",0.00171612413009307,"CD6_FOM1"
"12469","cg21999614",0.000386096005881154,"CD6_FOM1"
"12470","cg22050539",0.00048791018564704,"CD6_FOM1"
"12471","cg22067189",4.89274905532818e-05,"CD6_FOM1"
"12472","cg22090245",-0.000721406648888886,"CD6_FOM1"
"12473","cg22203323",-0.000919872923509621,"CD6_FOM1"
"12474","cg22207322",-0.0023518610966879,"CD6_FOM1"
"12475","cg22252475",-0.000479102268486026,"CD6_FOM1"
"12476","cg22267947",0.000211211980689441,"CD6_FOM1"
"12477","cg22324667",-7.29598429132194e-05,"CD6_FOM1"
"12478","cg22332884",-0.00257723223134728,"CD6_FOM1"
"12479","cg22366618",0.0011842974383622,"CD6_FOM1"
"12480","cg22451002",0.000880419765945631,"CD6_FOM1"
"12481","cg22522299",-0.00011841372926657,"CD6_FOM1"
"12482","cg22560211",-0.000746207347568801,"CD6_FOM1"
"12483","cg22658957",0.00115878247243385,"CD6_FOM1"
"12484","cg22662205",0.000767448840498278,"CD6_FOM1"
"12485","cg22672606",0.000364569522879391,"CD6_FOM1"
"12486","cg22705954",0.0013867226883653,"CD6_FOM1"
"12487","cg22713630",-0.000888302767078772,"CD6_FOM1"
"12488","cg22731373",-0.000987977439601955,"CD6_FOM1"
"12489","cg22817647",0.00115993266119615,"CD6_FOM1"
"12490","cg22821597",0.00218310209292675,"CD6_FOM1"
"12491","cg22822140",7.10378422900474e-05,"CD6_FOM1"
"12492","cg22823767",0.00104991577225535,"CD6_FOM1"
"12493","cg22824415",0.000751554135289869,"CD6_FOM1"
"12494","cg22829182",0.000605060189869218,"CD6_FOM1"
"12495","cg22849541",-0.000801882369775181,"CD6_FOM1"
"12496","cg22955387",0.00342018330012959,"CD6_FOM1"
"12497","cg22957651",-0.00170214798398495,"CD6_FOM1"
"12498","cg22980351",0.0012076177000904,"CD6_FOM1"
"12499","cg23083672",-8.75256902638875e-05,"CD6_FOM1"
"12500","cg23137494",-0.000245168028120908,"CD6_FOM1"
"12501","cg23140159",0.000512386156858206,"CD6_FOM1"
"12502","cg23376554",0.00157654964562156,"CD6_FOM1"
"12503","cg23408987",0.00127421445974544,"CD6_FOM1"
"12504","cg23476908",-0.000838363620220788,"CD6_FOM1"
"12505","cg23572455",-0.000689653698529488,"CD6_FOM1"
"12506","cg23607813",-0.00317650929357055,"CD6_FOM1"
"12507","cg23616046",0.00109342362766273,"CD6_FOM1"
"12508","cg23673620",-0.000420461920453587,"CD6_FOM1"
"12509","cg23689357",0.00202724125107328,"CD6_FOM1"
"12510","cg23710475",-0.00223074736615226,"CD6_FOM1"
"12511","cg23722438",0.0025421113421956,"CD6_FOM1"
"12512","cg23735003",-0.00243331108051203,"CD6_FOM1"
"12513","cg23852001",-0.00175724697539853,"CD6_FOM1"
"12514","cg23892645",-0.00150316633083096,"CD6_FOM1"
"12515","cg23921534",0.00317100383209684,"CD6_FOM1"
"12516","cg23946499",0.000770898227816338,"CD6_FOM1"
"12517","cg23955842",0.00143861050584681,"CD6_FOM1"
"12518","cg23959569",0.00496625647574544,"CD6_FOM1"
"12519","cg23991947",-0.000144108865428363,"CD6_FOM1"
"12520","cg23993836",0.00127737826062872,"CD6_FOM1"
"12521","cg24044654",-0.00299288493538313,"CD6_FOM1"
"12522","cg24139837",0.00495337506926173,"CD6_FOM1"
"12523","cg24142775",0.00153296743237052,"CD6_FOM1"
"12524","cg24149658",-0.00138466144921734,"CD6_FOM1"
"12525","cg24188954",0.00266095816132897,"CD6_FOM1"
"12526","cg24392532",0.000604924522292295,"CD6_FOM1"
"12527","cg24428913",-0.00196451172521832,"CD6_FOM1"
"12528","cg24511534",0.000658746599748586,"CD6_FOM1"
"12529","cg24529782",0.000799805069481959,"CD6_FOM1"
"12530","cg24626756",-0.00242763569698848,"CD6_FOM1"
"12531","cg24672310",-0.000133930746764856,"CD6_FOM1"
"12532","cg24711407",-0.00348589481210294,"CD6_FOM1"
"12533","cg24714634",0.000151885907558455,"CD6_FOM1"
"12534","cg24774956",0.000362196824647544,"CD6_FOM1"
"12535","cg24776295",-0.00203559718168454,"CD6_FOM1"
"12536","cg24853313",0.00171633176850285,"CD6_FOM1"
"12537","cg24923543",0.00038538419167329,"CD6_FOM1"
"12538","cg24931094",0.000651686272808836,"CD6_FOM1"
"12539","cg25052148",0.000263075427773718,"CD6_FOM1"
"12540","cg25122000",0.000279312769235794,"CD6_FOM1"
"12541","cg25131597",-0.000457667397239793,"CD6_FOM1"
"12542","cg25202270",0.000652886638281515,"CD6_FOM1"
"12543","cg25258879",0.000556130160535709,"CD6_FOM1"
"12544","cg25296477",-0.00047590158832236,"CD6_FOM1"
"12545","cg25316166",-0.000857840093951722,"CD6_FOM1"
"12546","cg25323012",-0.00279377484417293,"CD6_FOM1"
"12547","cg25402362",0.000249382736029824,"CD6_FOM1"
"12548","cg25442487",0.00207204482965743,"CD6_FOM1"
"12549","cg25452717",0.000169651810854753,"CD6_FOM1"
"12550","cg25492195",0.000570600871319689,"CD6_FOM1"
"12551","cg25493146",0.000299243094669823,"CD6_FOM1"
"12552","cg25548414",0.00314871681399978,"CD6_FOM1"
"12553","cg25556752",-0.00300987685932131,"CD6_FOM1"
"12554","cg25828221",0.000260368042686339,"CD6_FOM1"
"12555","cg25846190",0.000123325120567489,"CD6_FOM1"
"12556","cg25871420",-0.000694112424229967,"CD6_FOM1"
"12557","cg25873934",0.00111143953600295,"CD6_FOM1"
"12558","cg25888867",7.21101567905774e-05,"CD6_FOM1"
"12559","cg25943406",-0.00159591844798265,"CD6_FOM1"
"12560","cg25947525",0.00200176190130445,"CD6_FOM1"
"12561","cg25950739",9.82802190860245e-05,"CD6_FOM1"
"12562","cg26000542",0.000520322811151838,"CD6_FOM1"
"12563","cg26001150",0.00131306973069251,"CD6_FOM1"
"12564","cg26027233",0.000320861995342623,"CD6_FOM1"
"12565","cg26114378",0.000207806743881846,"CD6_FOM1"
"12566","cg26283136",0.000112122283975685,"CD6_FOM1"
"12567","cg26287822",-0.0118289644651793,"CD6_FOM1"
"12568","cg26359238",-0.00224430096918419,"CD6_FOM1"
"12569","cg26368752",-0.000290626867738086,"CD6_FOM1"
"12570","cg26369916",0.000213470943021565,"CD6_FOM1"
"12571","cg26439324",0.000692726430628638,"CD6_FOM1"
"12572","cg26502984",0.00154883174225699,"CD6_FOM1"
"12573","cg26510526",-0.000781898128054309,"CD6_FOM1"
"12574","cg26551791",0.000436355773854576,"CD6_FOM1"
"12575","cg26563418",-0.00169905634267248,"CD6_FOM1"
"12576","cg26582789",0.000689774157024874,"CD6_FOM1"
"12577","cg26590811",0.00128545303711826,"CD6_FOM1"
"12578","cg26600878",0.0015491102137717,"CD6_FOM1"
"12579","cg26617508",0.00212641325897504,"CD6_FOM1"
"12580","cg26739410",0.000541070279517451,"CD6_FOM1"
"12581","cg26745032",0.000413362333052859,"CD6_FOM1"
"12582","cg26793903",0.00315715531897613,"CD6_FOM1"
"12583","cg26802102",0.00133370118941993,"CD6_FOM1"
"12584","cg26803301",0.00239870856552467,"CD6_FOM1"
"12585","cg26815962",0.00271871357819584,"CD6_FOM1"
"12586","cg26817974",0.00333537871887439,"CD6_FOM1"
"12587","cg26848126",-0.000718249415062909,"CD6_FOM1"
"12588","cg26901920",0.000599279009405331,"CD6_FOM1"
"12589","cg27053580",-0.000521425860144193,"CD6_FOM1"
"12590","cg27054331",0.000981442552490211,"CD6_FOM1"
"12591","cg27059259",0.000297490714520637,"CD6_FOM1"
"12592","cg27121276",-2.8534919591379e-05,"CD6_FOM1"
"12593","cg27124847",-5.95957492333353e-05,"CD6_FOM1"
"12594","cg27268436",0.000525862971791456,"CD6_FOM1"
"12595","cg27274135",-0.00261799624072288,"CD6_FOM1"
"12596","cg27296089",0.00192878403665194,"CD6_FOM1"
"12597","cg27348515",0.00103079626993987,"CD6_FOM1"
"12598","cg27389609",0.000836303583019371,"CD6_FOM1"
"12599","cg27401562",-9.1535429447395e-05,"CD6_FOM1"
"12600","cg27404676",0.00377166398662637,"CD6_FOM1"
"12601","cg27590199",0.00353490487935958,"CD6_FOM1"
"12602","cg27609342",1.24394309740625e-05,"CD6_FOM1"
"12603","cg27616996",0.000529635954262214,"CD6_FOM1"
"12604","cg00017157",-0.000925173484740513,"CD6_FOM1"
"12605","cg00017970",-0.00132371906898397,"CD6_FOM1"
"12606","cg00027570",-0.00323347552902236,"CD6_FOM1"
"12607","cg00028022",0.00183913163020338,"CD6_FOM1"
"12608","cg00048381",0.000322712776716965,"CD6_FOM1"
"12609","cg00050294",0.000120797860979426,"CD6_FOM1"
"12610","cg00069771",-0.00808274423735126,"CD6_FOM1"
"12611","cg00112260",0.00118457850890957,"CD6_FOM1"
"12612","cg00130693",0.00214744159907137,"CD6_FOM1"
"12613","cg00152117",-0.00183685671731073,"CD6_FOM1"
"12614","cg00167913",-0.00658600148484636,"CD6_FOM1"
"12615","cg00178427",0.000143949933450546,"CD6_FOM1"
"12616","cg00256046",5.47408385617103e-05,"CD6_FOM1"
"12617","cg00291366",0.000322483265559127,"CD6_FOM1"
"12618","cg00294152",-0.00249101322192318,"CD6_FOM1"
"12619","cg00300303",0.00484003402584428,"CD6_FOM1"
"12620","cg00321850",0.000988887699938388,"CD6_FOM1"
"12621","cg00341297",6.11904186513493e-05,"CD6_FOM1"
"12622","cg00345083",0.0137994589986837,"CD6_FOM1"
"12623","cg00346208",0.00060425929916391,"CD6_FOM1"
"12624","cg00349061",-0.000226346921348209,"CD6_FOM1"
"12625","cg00382740",0.0001921308860816,"CD6_FOM1"
"12626","cg00407231",-0.00108322488468819,"CD6_FOM1"
"12627","cg00501169",0.00952288323293597,"CD6_FOM1"
"12628","cg00541303",0.0010122103722822,"CD6_FOM1"
"12629","cg00560747",-0.00112693365426503,"CD6_FOM1"
"12630","cg00666641",0.00180569257928462,"CD6_FOM1"
"12631","cg00668034",0.00146262955263744,"CD6_FOM1"
"12632","cg00764612",0.00147520871909485,"CD6_FOM1"
"12633","cg00774867",-0.00016711118238364,"CD6_FOM1"
"12634","cg00788699",0.00269566865953256,"CD6_FOM1"
"12635","cg00791851",0.0154774848477303,"CD6_FOM1"
"12636","cg00806311",-0.00381081400580682,"CD6_FOM1"
"12637","cg00813378",5.09197244797815e-05,"CD6_FOM1"
